                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.49478,                0.34357,                0.90402,                0.97459,                0.92875,                0.96339,                0.86737,                0.44899,                0.34452,                0.85449,              0.0010428,              0.0010428,              0.0010428
                     37,                0.48999,                0.34397,                0.90541,                0.96636,                0.93601,                0.96453,                0.87675,                0.44412,                 0.3288,                0.84887,              0.0010228,              0.0010228,              0.0010228
                     38,                0.48386,                0.33766,                0.90021,                0.98056,                0.93145,                0.96476,                0.87751,                0.44168,                0.32744,                0.84747,              0.0010026,              0.0010026,              0.0010026
                     39,                0.48555,                0.33586,                0.90086,                0.97105,                0.92901,                0.96313,                0.87061,                0.44487,                0.32981,                0.84444,             0.00098204,             0.00098204,             0.00098204
                     40,                0.48174,                0.33471,                0.89986,                0.98473,                0.92732,                0.96294,                0.87593,                0.44033,                0.31988,                0.84865,             0.00096125,             0.00096125,             0.00096125
                     41,                0.47592,                0.33173,                0.89653,                0.98778,                0.93087,                0.96605,                0.88166,                0.42076,                0.31173,                0.83477,             0.00094023,             0.00094023,             0.00094023
                     42,                0.47617,                0.32766,                0.89874,                0.98293,                0.93131,                0.96579,                0.87696,                0.42967,                0.32003,                0.83828,             0.00091899,             0.00091899,             0.00091899
                     43,                 0.4688,                0.32232,                0.89462,                0.97627,                0.93267,                0.96583,                0.88155,                0.42932,                0.32098,                0.84486,             0.00089756,             0.00089756,             0.00089756
                     44,                 0.4634,                0.31846,                0.89244,                0.98362,                0.93685,                0.96703,                0.88499,                0.42012,                0.30725,                0.84003,             0.00087595,             0.00087595,             0.00087595
                     45,                0.45721,                0.31559,                0.89012,                0.98184,                0.93977,                0.96673,                 0.8848,                0.41741,                0.30894,                0.83442,             0.00085419,             0.00085419,             0.00085419
                     46,                0.45379,                0.31132,                0.89045,                0.97519,                0.94691,                0.96819,                0.88872,                0.40534,                0.29353,                0.82667,              0.0008323,              0.0008323,              0.0008323
                     47,                0.45081,                0.30768,                0.88549,                0.98254,                0.93918,                0.96828,                0.88928,                0.40714,                0.29444,                0.82779,              0.0008103,              0.0008103,              0.0008103
                     48,                0.44625,                0.30367,                0.88666,                0.98358,                0.94164,                 0.9677,                 0.8873,                0.40651,                0.29504,                0.83103,             0.00078821,             0.00078821,             0.00078821
                     49,                0.44601,                 0.3047,                0.88277,                0.98418,                0.94455,                0.96817,                0.88896,                0.41189,                0.29796,                0.83004,             0.00076606,             0.00076606,             0.00076606
                     50,                0.44043,                 0.2971,                0.88281,                0.98381,                0.94531,                0.96974,                0.89131,                0.40135,                0.28808,                 0.8204,             0.00074386,             0.00074386,             0.00074386
                     51,                 0.4391,                0.29587,                0.88191,                0.98402,                0.94493,                0.96967,                0.89314,                 0.3952,                0.27803,                0.81862,             0.00072165,             0.00072165,             0.00072165
                     52,                0.43438,                0.29292,                0.87839,                 0.9873,                0.93603,                0.96981,                0.88955,                0.40433,                0.28283,                 0.8296,             0.00069943,             0.00069943,             0.00069943
                     53,                0.43191,                0.28887,                 0.8779,                0.98338,                0.94421,                 0.9699,                0.89698,                0.39096,                0.27654,                0.81698,             0.00067723,             0.00067723,             0.00067723
                     54,                 0.4275,                0.28717,                0.87729,                0.99038,                  0.942,                0.97267,                0.89968,                 0.3838,                 0.2716,                0.81527,             0.00065508,             0.00065508,             0.00065508
                     55,                 0.4195,                0.28142,                0.87645,                0.98973,                0.94253,                0.97063,                 0.8997,                0.38524,                0.27588,                0.81413,             0.00063299,             0.00063299,             0.00063299
                     56,                0.41988,                0.28347,                0.87619,                0.98797,                0.94451,                0.97003,                0.89844,                 0.3864,                0.27966,                0.81594,             0.00061099,             0.00061099,             0.00061099
                     57,                0.41602,                0.27869,                0.87577,                0.98512,                0.94545,                0.97293,                0.90309,                0.38049,                0.27396,                0.81362,              0.0005891,              0.0005891,              0.0005891
                     58,                0.41404,                0.27671,                0.87113,                0.98715,                 0.9437,                0.97102,                0.89969,                0.38299,                0.27106,                0.81513,             0.00056734,             0.00056734,             0.00056734
                     59,                0.41073,                 0.2733,                0.86917,                0.98929,                0.94487,                0.97221,                0.90263,                0.37817,                0.26769,                0.80794,             0.00054573,             0.00054573,             0.00054573
                     60,                0.40447,                 0.2664,                 0.8665,                0.98716,                0.95194,                0.97442,                0.90648,                0.37081,                0.25781,                0.80819,              0.0005243,              0.0005243,              0.0005243
                     61,                0.40316,                0.26662,                0.86927,                0.98959,                0.94825,                0.97359,                 0.9055,                0.37252,                0.26117,                0.80719,             0.00050306,             0.00050306,             0.00050306
                     62,                0.40172,                0.26681,                0.86973,                0.98722,                0.94607,                0.97307,                0.90529,                0.36832,                0.25565,                 0.8091,             0.00048204,             0.00048204,             0.00048204
                     63,                0.39412,                0.25938,                0.86405,                0.99246,                0.94509,                0.97337,                0.90716,                0.36713,                0.25744,                0.80914,             0.00046125,             0.00046125,             0.00046125
                     64,                0.39433,                0.25906,                0.86242,                 0.9924,                 0.9456,                 0.9749,                0.90962,                0.36208,                0.25667,                0.80559,             0.00044072,             0.00044072,             0.00044072
                     65,                0.39177,                0.25639,                0.86302,                0.98975,                0.94794,                0.97416,                0.90847,                0.35783,                0.25232,                0.80312,             0.00042047,             0.00042047,             0.00042047
                     66,                0.38766,                0.25714,                0.86422,                0.98779,                0.94901,                0.97545,                0.91318,                0.35756,                0.24556,                0.80494,             0.00040051,             0.00040051,             0.00040051
                     67,                 0.3848,                0.25187,                0.86077,                0.98821,                0.94688,                0.97466,                0.91058,                0.36094,                0.24632,                0.80527,             0.00038087,             0.00038087,             0.00038087
                     68,                0.38252,                0.24936,                0.86082,                0.99008,                0.95065,                0.97541,                0.90954,                 0.3613,                0.24499,                0.80413,             0.00036157,             0.00036157,             0.00036157
                     69,                 0.3807,                0.24862,                 0.8601,                0.99038,                0.95399,                0.97631,                0.91204,                0.35372,                0.24095,                0.80155,             0.00034263,             0.00034263,             0.00034263
                     70,                0.37962,                0.24797,                0.85923,                0.99144,                 0.9514,                0.97699,                 0.9132,                0.35086,                0.23736,                0.80075,             0.00032405,             0.00032405,             0.00032405
                     71,                0.37455,                0.24388,                0.85619,                0.99323,                0.94915,                0.97597,                0.91414,                0.34973,                0.23892,                0.79986,             0.00030587,             0.00030587,             0.00030587
                     72,                0.37791,                0.24413,                0.85556,                0.99104,                0.95297,                0.97558,                  0.915,                0.34724,                0.23493,                0.79857,              0.0002881,              0.0002881,              0.0002881
                     73,                 0.3697,                0.23892,                0.85661,                0.99376,                0.95301,                0.97592,                0.91595,                  0.347,                 0.2325,                0.79701,             0.00027076,             0.00027076,             0.00027076
                     74,                0.36556,                0.23626,                0.85419,                0.99277,                 0.9548,                0.97651,                0.91808,                0.34116,                0.23169,                0.79357,             0.00025386,             0.00025386,             0.00025386
                     75,                0.36463,                0.23558,                0.85279,                0.99244,                0.95448,                0.97696,                0.91833,                0.34567,                0.23185,                0.79677,             0.00023743,             0.00023743,             0.00023743
                     76,                0.36205,                0.23287,                0.85287,                0.99072,                0.95348,                 0.9771,                  0.917,                0.34336,                0.23071,                0.79566,             0.00022147,             0.00022147,             0.00022147
                     77,                0.35887,                 0.2307,                0.85243,                0.99341,                0.95123,                0.97747,                0.91906,                0.33726,                0.22779,                0.79529,             0.00020601,             0.00020601,             0.00020601
                     78,                0.35567,                0.22813,                0.85076,                0.99105,                0.95399,                0.97748,                0.91885,                0.33416,                0.22857,                0.79198,             0.00019105,             0.00019105,             0.00019105
                     79,                0.35897,                0.22828,                0.85135,                0.99048,                0.95352,                0.97734,                0.91748,                0.33612,                0.22823,                0.79274,             0.00017662,             0.00017662,             0.00017662
                     80,                0.35811,                0.22951,                0.85207,                  0.992,                0.95322,                0.97719,                0.91915,                0.33343,                0.22534,                0.79246,             0.00016272,             0.00016272,             0.00016272
                     81,                 0.3469,                0.22136,                0.84646,                0.99415,                0.95101,                0.97837,                0.91945,                 0.3323,                0.22226,                0.79044,             0.00014938,             0.00014938,             0.00014938
                     82,                 0.3475,                0.22135,                0.84756,                0.99432,                0.95223,                0.97907,                0.92118,                0.33382,                0.22385,                0.78927,             0.00013661,             0.00013661,             0.00013661
                     83,                0.34618,                0.22002,                0.84777,                 0.9936,                 0.9531,                 0.9776,                 0.9202,                  0.334,                0.22308,                0.79113,             0.00012441,             0.00012441,             0.00012441
                     84,                 0.3468,                0.21837,                0.84677,                0.99326,                0.95362,                0.97834,                 0.9215,                0.33138,                0.22091,                0.79075,             0.00011279,             0.00011279,             0.00011279
                     85,                0.34597,                0.21807,                0.84541,                0.99506,                0.95225,                0.97821,                0.92134,                0.32975,                0.21829,                0.78885,             0.00010179,             0.00010179,             0.00010179
                     86,                0.34301,                0.21588,                0.84392,                0.99238,                0.95614,                 0.9788,                0.92209,                0.33092,                0.21809,                0.79055,             9.1387e-05,             9.1387e-05,             9.1387e-05
                     87,                0.34136,                0.21562,                0.84295,                 0.9921,                0.95406,                0.97825,                 0.9226,                0.32863,                0.21903,                0.79036,             8.1611e-05,             8.1611e-05,             8.1611e-05
                     88,                0.34172,                0.21517,                0.84672,                0.99186,                0.95495,                0.97845,                0.92339,                0.33056,                0.21914,                0.79165,             7.2467e-05,             7.2467e-05,             7.2467e-05
                     89,                0.33999,                0.21438,                0.84385,                0.99187,                0.95508,                0.97884,                0.92374,                0.32986,                0.21642,                0.79041,             6.3963e-05,             6.3963e-05,             6.3963e-05
                     90,                0.33554,                 0.2124,                0.84317,                0.99215,                0.95493,                0.97852,                0.92333,                0.32739,                0.21591,                0.78945,             5.6108e-05,             5.6108e-05,             5.6108e-05
                     91,                0.34521,                0.20305,                0.82911,                 0.9924,                0.95724,                0.97916,                0.92392,                0.32874,                0.21553,                0.79197,              4.891e-05,              4.891e-05,              4.891e-05
                     92,                0.33906,                0.19733,                 0.8265,                0.99202,                0.95695,                0.97831,                0.92382,                0.32634,                0.21394,                0.78889,             4.2376e-05,             4.2376e-05,             4.2376e-05
                     93,                0.33281,                0.19523,                0.82638,                0.99404,                0.95537,                 0.9791,                0.92505,                  0.326,                0.21264,                0.78848,             3.6513e-05,             3.6513e-05,             3.6513e-05
                     94,                0.33432,                0.19546,                0.82608,                0.99152,                0.95843,                0.97841,                0.92504,                0.32546,                0.21126,                0.78767,             3.1325e-05,             3.1325e-05,             3.1325e-05
                     95,                0.33071,                 0.1932,                0.82604,                0.99256,                0.95673,                0.97973,                0.92644,                0.32377,                0.21063,                0.78707,             2.6819e-05,             2.6819e-05,             2.6819e-05
                     96,                 0.3288,                0.19116,                0.82378,                0.99238,                0.95668,                0.97983,                0.92583,                0.32401,                0.21028,                0.78737,             2.2999e-05,             2.2999e-05,             2.2999e-05
                     97,                0.32758,                0.19105,                0.82184,                0.99324,                0.95586,                0.97964,                0.92589,                0.32458,                0.21037,                0.78798,             1.9868e-05,             1.9868e-05,             1.9868e-05
                     98,                0.32837,                0.19135,                0.82205,                0.99194,                0.95687,                 0.9797,                0.92581,                0.32477,                0.21061,                0.78797,             1.7429e-05,             1.7429e-05,             1.7429e-05
                     99,                0.32908,                0.19167,                0.82245,                0.99407,                 0.9559,                0.97961,                0.92603,                0.32383,                0.20999,                 0.7874,             1.5686e-05,             1.5686e-05,             1.5686e-05
                    100,                0.32466,                0.18907,                0.82128,                0.99469,                0.95563,                0.97966,                0.92622,                0.32474,                0.21044,                0.78804,             1.4639e-05,             1.4639e-05,             1.4639e-05
